,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
122,Cursive,Billie Marten,240400,62,spotify:track:5Iy1wdO0tMaHwKnfFYtlel,0.494,0.267,0,-11.54,0.0308,0.935,5.58e-05,0.128,0.166,115.117,3,0
123,Daar Gaat Ze,Clouseau,227906,5,spotify:track:7kMPC3vgXk3o9xUP3GWAJ0,0.639,0.4920000000000001,5,-8.497,0.0288,0.78,0.0,0.117,0.6659999999999999,87.03299999999999,4,1
124,Dance Little Sister,Terence Trent D'Arby,234640,53,spotify:track:4o9Kj7onklt6xbYl3jVArp,0.722,0.696,2,-11.095,0.0901,0.161,0.0,0.0755,0.93,115.397,4,1
125,Dancing On My Own,Calum Scott,260004,9,spotify:track:02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,1,-8.796,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,4,0
126,Dancing Through Sunday,AFI,146666,47,spotify:track:4O5GKVbnQ8U9BxYWu0hIug,0.555,0.98,3,-2.849,0.0947,0.00291,0.0,0.279,0.643,114.078,4,2
127,Dancing With Your Ghost,Sasha Sloan,197732,78,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.327,11,-8.285,0.029,0.7609999999999999,2.9600000000000005e-05,0.103,0.381,74.953,4,0
128,Dancing With an Astronaut,Ellie Rose,168141,41,spotify:track:43cElHKBLhVdsz0cPETPIj,0.516,0.407,9,-7.841,0.0283,0.487,0.0235,0.252,0.17,74.89399999999998,4,0
129,Dani California,Red Hot Chili Peppers,282160,77,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4,2
130,Dark Side of the Gym,The National,290093,52,spotify:track:1OdpIb0nzhDcqwkiYp0O1u,0.642,0.475,2,-11.404000000000002,0.0294,0.726,0.7859999999999999,0.12,0.453,103.955,3,0
131,Darkest Hour,Low Roar,179520,29,spotify:track:36I7pi5g6XZJm3bcgqmLyE,0.6940000000000001,0.359,9,-16.105,0.0408,0.612,0.738,0.1369999999999999,0.348,125.077,4,0
132,Dawning,Light of Sun,206419,58,spotify:track:56ag77KIUFvxJhA1gdObsq,0.526,0.471,0,-11.965,0.0424,0.64,0.8170000000000001,0.096,0.286,119.972,4,3
133,Day 5: For Carol,Tom Misch,394862,56,spotify:track:3JjeC1epY5y2Jysxn5FVCB,0.485,0.4970000000000001,2,-10.022,0.0308,0.765,0.8859999999999999,0.132,0.065,100.857,4,3
134,De Fléche,Les Manger Tous,233062,52,spotify:track:5vymVJ2WUlLnMeQqrgwQx8,0.435,0.333,8,-15.885,0.0308,0.6679999999999999,0.8340000000000001,0.084,0.074,90.902,4,3
135,Dear Diary,Anthony Ramos,216933,0,spotify:track:5AqPW3fH2H4ORBYTVwfHep,0.474,0.41,7,-9.373,0.0644,0.5870000000000001,3.97e-06,0.114,0.37,125.085,3,0
